connectionTime_decimal,chargingDuration,kWhDelivered,dayIndicator
15.33290971,2.301191251,11.4695506,1
16.81149523,4.941773986,3.611694533,1
21.15169572,3.567172875,14.45570556,1
14.98855359,3.089371355,5.985329927,1
15.07827647,0.145046731,1.274457738,1
1.374939257,1.019991478,7.327850035,1
16.68056053,0.875762514,6.760685026,1
18.73151389,1.246923688,4.272613187,1
17.35636594,5.696374664,11.4629802,1
14.65911491,5.727055525,5.93673377,1
15.79737907,1.765613403,11.96919521,1
16.04913034,1.171000873,6.029379607,1
15.3257645,1.442364896,3.818901746,1
18.06449705,7.478083673,13.85887769,1
15.82475096,5.345466893,12.78278588,1
14.77142069,2.167429947,3.360247391,1
16.12826197,6.461354928,13.94505802,1
17.01243427,4.699164918,13.8574072,1
18.26721078,3.226808041,7.847516631,1
14.63407991,9.164410705,25.48495916,1
17.97013559,8.640064774,13.39859196,1
14.60287217,4.038319877,14.00979555,1
15.10392735,1.033183154,9.02771108,1
15.91821329,4.666496081,9.17954421,1
16.66032069,2.271950614,7.225025781,1
3.898232178,0.259103024,3.162203216,1
16.21475126,2.798511954,10.30634258,1
15.92472748,6.549111181,10.89666632,1
17.55594335,0.953978138,7.13540647,1
23.68432933,1.473338592,1.904727836,1
17.72180162,6.664384599,13.18091749,1
15.73824261,7.202148529,14.20348817,1
17.20130511,5.450736555,14.31328809,1
15.75105108,4.614477222,13.68949798,1
0.251788021,1.175528706,5.253113651,1
17.84439168,5.17813303,14.29719789,1
14.37536372,2.083395077,10.85732646,1
15.89155217,2.265563587,7.017297925,1
16.37530971,6.922189708,13.4295446,1
16.61148465,5.431377038,15.96659534,1
12.48562584,0.868260379,5.417817796,1
16.51088495,4.290549239,13.22189881,1
0.667009499,0.28542918,2.257678165,1
16.40543008,3.059722126,22.51274008,2
15.34910722,3.791235173,14.05059303,2
16.43641438,1.745049346,0.520214996,2
13.75545156,0.331040741,5.337039223,2
10.31106431,0.351510248,3.402251383,2
14.36231539,3.090892093,18.84590633,2
20.42366049,1.700563481,5.734829985,2
15.95430845,5.215001169,14.66267172,2
15.02255846,4.87667566,12.56049232,2
15.42268091,1.973714281,5.092266966,2
16.3098716,12.27939731,10.36974434,2
20.55285121,1.511505485,6.388315977,2
15.81915635,2.920374448,11.8491821,2
13.48529095,0.999990123,6.489870525,2
18.34377136,1.760320317,4.389199026,2
17.13112512,3.329070301,10.47717439,2
16.0873593,6.795700482,13.77410276,2
1.907561102,1.061095305,5.215138552,2
17.16941424,5.963435062,10.456744,2
15.95221633,2.719620126,6.509786398,2
16.59654693,9.013734796,13.41623113,2
15.45458602,1.54784358,11.36925218,2
17.49930476,1.91462828,6.177787963,2
16.66329728,3.264767982,13.85076955,2
13.48389682,0.979850384,6.149120293,2
15.19351396,6.289153137,14.25389747,2
13.74869593,4.658295747,4.436795641,2
16.0106677,1.515329196,5.757463063,2
15.55055435,3.647703123,10.71480286,2
16.67979063,10.49093103,24.95646471,2
17.46869831,7.317522176,13.49509194,2
21.26787191,19.24587765,8.67797278,2
15.24994459,2.074867347,3.639701859,2
15.60913149,5.385115396,4.364405016,2
16.52929626,2.10764056,17.76232245,2
21.54421381,1.177222998,7.053128245,2
14.51734989,0.927541949,4.843438883,2
15.71702827,6.398933972,14.42162378,2
16.69877309,10.29828933,15.01607888,2
14.6117437,1.755371049,4.150807489,2
17.30724313,2.917680396,14.05136371,2
16.3160696,5.093948998,14.06357734,2
14.46743797,1.510901029,4.486849994,2
14.62323667,3.882415566,4.78283195,2
17.09838998,1.748754561,11.97462144,2
16.06915706,3.743678756,8.919257926,2
15.63601135,1.084462828,1.349456303,2
13.69092461,2.233685771,5.946466645,2
16.02531496,6.416445978,11.81318376,2
15.19078865,1.034737345,1.279443995,2
19.64802581,1.426135588,2.714301436,2
17.0062154,5.62077439,14.80274822,2
15.59243179,3.428242685,8.900051602,2
16.10070411,8.556465144,13.32724532,2
16.29628467,5.761695994,13.60127284,2
17.52242237,1.798616784,5.740996928,2
16.94172028,1.630602577,11.32516181,2
14.01117707,3.687661846,4.315765545,2
17.46999982,5.390963837,11.9834787,2
16.97644074,3.721967518,7.658029515,2
14.321512,1.432659058,13.15463943,3
16.12994624,6.606390286,12.98235673,3
0.956184014,2.330177014,12.838535,3
16.36945451,7.468699526,13.50726563,3
21.14404582,6.442494247,11.31046275,3
21.00680822,3.609724929,17.24126126,3
15.29847069,5.246696484,11.64670787,3
15.45966057,5.58734175,14.33303346,3
17.09119119,3.897315696,14.06987964,3
13.87702291,0.591695848,3.849087369,3
16.6242495,4.774868415,13.28996387,3
21.4927522,4.298126473,16.45642954,3
17.16842597,3.477199254,13.73847389,3
16.53862167,4.987824506,10.28107971,3
16.41184981,9.102202324,18.41187326,3
14.2521706,1.301420924,5.168300816,3
14.54929201,2.688430211,6.183458381,3
16.24348636,10.60071295,13.2992442,3
16.23943158,7.097053452,13.3527904,3
16.72743658,4.057627279,11.00404449,3
0.403867044,2.433266476,13.45122296,3
17.42638051,7.554169235,13.84445731,3
21.87425227,0.722134763,4.987982289,3
17.10598174,8.894329906,13.78164116,3
0.433516027,1.359777656,7.162836215,3
13.28605568,1.584116059,4.971815014,3
18.37299038,3.533022058,14.13262001,3
15.85499695,1.731271139,9.97298303,3
0.088615576,4.721427112,12.40902989,3
20.69546943,7.255622607,13.73781682,3
15.64396227,8.964096368,13.43196731,3
16.87811337,6.519499288,12.42897056,3
20.45367678,4.805711661,17.43641575,3
20.11034023,1.650022879,13.26283678,3
15.17228178,1.521597814,8.759491306,3
15.91425101,1.128863312,7.114148221,3
14.93219531,2.536472685,7.238024705,3
16.43497868,13.71372163,18.90771792,3
2.156062245,1.140867011,1.594158545,3
20.19810798,1.143774613,8.943616614,3
16.55548319,3.038623563,8.797017086,3
19.11301477,2.019875082,11.88492517,3
17.99123217,2.282719055,7.631870031,3
17.14779221,9.085721323,13.79627433,3
14.67923802,6.719408344,3.531358535,3
16.35536498,4.052851447,12.7150028,3
14.75368243,1.697575851,2.846661512,3
5.863526802,0.47242985,0.976075493,3
15.94509976,4.27886728,54.38013375,3
15.47220517,7.682361137,12.21840209,3
22.98491316,2.07476022,2.699482463,3
17.20579094,4.716229276,13.97954418,3
22.72724938,0.913695146,20.18638776,3
21.23066068,0.466128825,5.035270492,3
15.61228234,6.84811385,13.24413519,4
16.11912913,0.558318233,1.412738466,4
15.11301901,1.331354627,3.968470367,4
14.5123984,4.133854866,10.11982727,4
16.40546011,8.7974514,12.86328747,4
16.75169837,2.25288535,13.40345351,4
17.25896439,6.251188655,14.23082191,4
18.08772961,4.438197201,13.62130325,4
16.86562535,0.811144552,8.916130825,4
20.19224515,3.538680629,9.522117663,4
16.66480715,3.612965307,14.06277322,4
16.39346516,2.42450506,10.71491632,4
15.67156285,10.59247243,6.936929994,4
17.6776038,8.904820443,6.339208762,4
20.05191086,7.788033313,13.66503868,4
15.96509882,4.472344993,10.81015183,4
15.14315537,1.662828737,8.206693008,4
15.11914121,1.093778255,14.63998746,4
17.09442624,10.33831833,12.10916326,4
15.83941465,8.838260939,13.4981925,4
17.0194765,6.861719296,16.61092611,4
23.45965381,21.26754547,14.04075967,4
15.87871502,6.400402249,12.01936015,4
17.57827143,6.849507993,14.15964888,4
15.73911771,1.543971349,10.30805435,4
17.03579788,8.027996423,14.04296565,4
14.24152903,1.758743774,3.864319461,4
20.35045494,2.25996904,12.36869351,4
16.52962123,6.346081084,8.489778732,4
15.23901803,0.301003401,2.462882969,4
15.71654862,2.742426448,9.1566933,4
18.43346959,5.597248786,13.74330251,4
16.70729222,2.244096939,11.89956666,4
16.03837182,3.518367916,13.62487375,4
16.51209318,9.434811108,13.69198169,4
0.669206432,3.408488352,8.598822859,4
20.83867623,3.316136131,8.047269125,4
15.88120859,1.9273343,11.43046145,4
16.20743511,11.99735584,13.47773333,4
16.22794662,5.585907107,14.47848008,4
16.25111072,1.619900665,7.708900332,4
16.12723328,8.294252612,14.00099332,4
0.154872317,1.83979003,7.668803183,4
16.86687318,7.161875197,13.01465316,4
0.440541588,0.560029165,2.523077037,4
15.95607348,22.11424198,8.80655263,4
16.67350143,6.000804907,14.6163077,4
15.43444934,7.534944662,15.71132929,4
3.213650919,0.593256434,2.81381958,4
16.36996253,1.949720517,4.412440371,4
18.1208253,6.903643146,13.26617277,4
15.67168422,7.551825213,20.33729551,4
16.76178464,1.906094718,4.678193581,4
15.76044154,7.662843409,15.42080608,4
16.24341186,2.433534458,14.46179205,4
12.80853434,0.537487495,2.385383669,4
16.86184991,1.42115411,11.80316854,4
13.94785144,1.261532649,3.674339913,5
20.04846793,11.65134208,20.27601594,5
1.964902453,0.682968126,3.70361541,5
16.4320283,3.435092563,13.79420687,5
4.674134955,0.098203168,3.317042257,5
15.16437596,5.413206987,6.154990745,5
15.12885058,1.914164106,11.85913874,5
16.75214677,5.376974231,7.363615068,5
1.718803368,1.652327697,13.24860383,5
14.17288027,2.490158471,17.75303849,5
14.56072933,4.44008054,11.14390321,5
18.63865066,7.260954472,19.67794701,5
1.859147725,0.537874104,2.413990803,5
14.60838946,7.134773926,9.526326767,5
15.19908216,4.624099924,25.08589074,5
17.36955781,1.135416749,4.550125778,5
18.80699591,2.66840625,7.662604604,5
17.34153403,4.1740017,13.90259436,5
6.043915449,0.297364416,2.400751803,5
14.70353226,13.49534093,17.76274934,5
16.59438577,1.630883624,12.27190687,5
16.28462374,5.28042286,13.60182017,5
19.84305102,2.223491912,9.415071273,5
17.31929408,9.333197349,14.11342125,5
15.03975397,4.068685734,12.92118506,5
17.01204234,9.129515961,13.65693118,5
16.43936244,0.780491529,8.398520084,5
0.640318866,1.062531226,6.627274303,5
16.16262085,1.151742435,2.237191911,5
16.10978658,11.14122586,16.47104936,5
18.07784165,2.196644485,12.86551064,5
16.75466359,2.320686106,17.09322483,5
16.44491072,2.949325739,13.62779275,5
15.1554663,10.92136713,11.74819235,5
15.88530389,7.100118482,13.85544879,5
20.19569163,3.030968146,11.30717717,5
16.1076834,1.054203245,2.14981636,5
0.185926671,0.641993673,10.59686165,5
15.41818133,4.335991746,13.49866802,5
3.153887605,1.839131304,5.863645663,5
8.290299756,3.540710821,5.742594966,5
20.97229517,2.179505623,13.34347756,5
14.82624649,1.449317435,6.292968101,5
16.02846393,2.116709263,9.30263081,5
14.86880733,2.038125107,5.065297715,5
17.22173933,4.569895947,13.67824588,5
15.72304801,1.645713344,26.09959666,5
15.20387508,11.72299837,25.12739979,6
0.972183698,0.902258796,5.61947025,6
17.80832515,5.063209576,10.87999647,6
16.71848142,4.468785137,11.27205671,6
1.445717833,0.759893933,1.49790124,6
16.885333,0.641892491,2.437081402,6
16.29434255,9.658900236,13.28078846,6
2.14681841,13.00868044,15.50630749,6
0.305956561,2.199568624,6.938163044,6
17.30522471,6.725066396,15.90533582,6
20.89758073,13.08611286,20.32973384,6
16.34434147,4.643096356,8.766635329,6
20.92183961,2.458371058,9.490905183,6
22.30579029,2.767660896,9.475909954,6
21.1842177,3.044228565,8.181611147,6
22.56269375,2.363094241,6.011157918,6
16.26083458,4.758205647,10.56094965,6
16.33428678,6.574605174,14.48707769,6
17.0371347,4.086899501,17.9666282,6
18.04932548,2.0102763,10.54735486,6
22.87941373,1.188241097,3.306031674,6
4.56866807,6.381744979,3.417710661,6
20.17140183,2.564382589,14.25069877,6
18.41893594,2.399599754,4.592200784,6
17.5102225,3.818742541,14.35469156,6
16.30195956,8.531518477,13.4807623,6
20.50224446,5.752851829,9.44971451,6
16.49100887,7.260597757,13.40954141,6
15.39297078,1.780426255,7.401570462,6
16.87489876,3.994773082,17.41720185,6
16.95789933,4.007791093,20.79647709,6
23.61284227,2.296052136,6.088143754,6
16.71119938,6.804182597,13.42157756,6
16.27395791,9.948197175,13.72045553,6
14.97005239,3.358208873,3.784266499,6
21.94451097,3.337306273,13.13292114,6
15.03216269,2.01663747,11.32577057,6
